Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,4.625000,4.625000,4.625000,4.625000,0.358425,99200
1973-02-22,4.640625,4.640625,4.640625,4.640625,0.359636,47200
1973-02-23,4.625000,4.625000,4.625000,4.625000,0.358425,133600
1973-02-26,4.625000,4.625000,4.625000,4.625000,0.358425,24000
1973-02-27,4.625000,4.625000,4.625000,4.625000,0.358425,41600
1973-02-28,4.625000,4.625000,4.625000,4.625000,0.358425,66400
1973-03-01,4.656250,4.656250,4.656250,4.656250,0.360846,93600
1973-03-02,4.671875,4.671875,4.671875,4.671875,0.362057,26400
1973-03-05,4.734375,4.734375,4.734375,4.734375,0.366901,68000
1973-03-06,4.875000,4.875000,4.875000,4.875000,0.377799,76800
1973-03-07,4.875000,4.875000,4.875000,4.875000,0.377799,51200
1973-03-08,4.906250,4.906250,4.906250,4.906250,0.380221,84800
1973-03-09,4.906250,4.906250,4.906250,4.906250,0.380221,78400
1973-03-12,4.890625,4.890625,4.890625,4.890625,0.379010,73600
1973-03-13,4.906250,4.906250,4.906250,4.906250,0.380221,47200
1973-03-14,4.921875,4.921875,4.921875,4.921875,0.381432,50400
1973-03-15,4.906250,4.906250,4.906250,4.906250,0.380221,70400
1973-03-16,4.890625,4.890625,4.890625,4.890625,0.379010,44800
1973-03-19,4.843750,4.843750,4.843750,4.843750,0.375377,28000
1973-03-20,4.750000,4.750000,4.750000,4.750000,0.368112,68800
1973-03-21,4.687500,4.687500,4.687500,4.687500,0.363268,94400
1973-03-22,4.609375,4.609375,4.609375,4.609375,0.357214,55200
1973-03-23,4.609375,4.609375,4.609375,4.609375,0.357214,117600
1973-03-26,4.593750,4.593750,4.593750,4.593750,0.356003,9600
1973-03-27,4.593750,4.593750,4.593750,4.593750,0.356003,15200
1973-03-28,4.656250,4.656250,4.656250,4.656250,0.360846,141600
1973-03-29,4.718750,4.718750,4.718750,4.718750,0.365690,120000
1973-03-30,4.718750,4.718750,4.718750,4.718750,0.365690,85600
1973-04-02,4.687500,4.687500,4.687500,4.687500,0.363268,52800
1973-04-03,4.656250,4.656250,4.656250,4.656250,0.360846,23200
1973-04-04,4.625000,4.625000,4.625000,4.625000,0.358425,78400
1973-04-05,4.609375,4.609375,4.609375,4.609375,0.357214,78400
1973-04-06,4.609375,4.609375,4.609375,4.609375,0.357214,36000
1973-04-09,4.609375,4.609375,4.609375,4.609375,0.357214,28000
1973-04-10,4.718750,4.718750,4.718750,4.718750,0.365690,88800
1973-04-11,4.750000,4.750000,4.750000,4.750000,0.368112,144000
1973-04-12,4.812500,4.812500,4.812500,4.812500,0.372956,140800
1973-04-13,4.812500,4.812500,4.812500,4.812500,0.372956,13600
1973-04-16,4.812500,4.812500,4.812500,4.812500,0.372956,40000
1973-04-17,4.687500,4.687500,4.687500,4.687500,0.363268,92800
1973-04-18,4.671875,4.671875,4.671875,4.671875,0.362057,25600
1973-04-19,4.687500,4.687500,4.687500,4.687500,0.363268,39200
1973-04-23,4.625000,4.625000,4.625000,4.625000,0.358425,48000
1973-04-24,4.593750,4.593750,4.593750,4.593750,0.356003,134400
1973-04-25,4.562500,4.562500,4.562500,4.562500,0.353581,59200
1973-04-26,4.562500,4.562500,4.562500,4.562500,0.353581,33600
1973-04-27,4.531250,4.531250,4.531250,4.531250,0.351159,36800
1973-04-30,4.468750,4.468750,4.468750,4.468750,0.346316,91200
1973-05-01,4.437500,4.437500,4.437500,4.437500,0.343894,295200
1973-05-02,4.453125,4.453125,4.453125,4.453125,0.345105,61600
1973-05-03,0.000000,4.500000,4.437500,4.437500,0.343894,56000
1973-05-04,0.000000,4.546875,4.484375,4.484375,0.347527,43200
1973-05-07,0.000000,4.562500,4.500000,4.500000,0.348738,42400
1973-05-08,0.000000,4.578125,4.515625,4.515625,0.349949,28800
1973-05-09,0.000000,4.703125,4.640625,4.640625,0.359636,58400
1973-05-10,0.000000,4.812500,4.750000,4.750000,0.368112,70400
1973-05-11,0.000000,4.828125,4.765625,4.765625,0.369323,26400
1973-05-14,0.000000,4.656250,4.593750,4.593750,0.356003,151200
1973-05-15,0.000000,4.640625,4.578125,4.578125,0.354792,163200
1973-05-16,0.000000,4.734375,4.671875,4.671875,0.362057,75200
1973-05-17,0.000000,4.734375,4.671875,4.671875,0.362057,27200
1973-05-18,0.000000,4.687500,4.625000,4.625000,0.358425,59200
1973-05-21,0.000000,4.671875,4.609375,4.609375,0.357214,60800
1973-05-22,0.000000,4.718750,4.656250,4.656250,0.360846,95200
1973-05-23,0.000000,4.734375,4.671875,4.671875,0.362057,34400
1973-05-24,0.000000,4.843750,4.781250,4.781250,0.370534,60000
1973-05-25,0.000000,4.906250,4.843750,4.843750,0.375377,111200
1973-05-29,0.000000,4.937500,4.875000,4.875000,0.377799,144800
1973-05-30,0.000000,4.859375,4.796875,4.796875,0.371745,90400
1973-05-31,0.000000,4.859375,4.796875,4.796875,0.371745,36000
1973-06-01,0.000000,4.859375,4.796875,4.796875,0.371745,47200
1973-06-04,0.000000,4.640625,4.578125,4.578125,0.354792,119200
1973-06-05,0.000000,4.562500,4.500000,4.500000,0.348738,101600
1973-06-06,0.000000,4.500000,4.437500,4.437500,0.343894,32000
1973-06-07,0.000000,4.531250,4.468750,4.468750,0.346316,31200
1973-06-08,0.000000,4.546875,4.484375,4.484375,0.347527,98400
1973-06-11,0.000000,4.562500,4.500000,4.500000,0.348738,58400
1973-06-12,0.000000,4.609375,4.546875,4.546875,0.352370,148800
1973-06-13,0.000000,4.625000,4.562500,4.562500,0.353581,40800
