Date,Open,High,Low,Close,Adj Close,Volume
1986-09-01,5.060900,5.102041,4.484859,4.505430,1.045399,999300
1986-10-01,4.505431,4.526004,4.361422,4.484859,1.040625,1025500
1986-11-01,4.567150,4.608295,4.423140,4.567150,1.059719,51700
1986-12-01,4.567150,5.060895,4.526004,5.060895,1.174284,666800
1987-01-01,5.102041,5.626646,4.875741,5.513496,1.279301,78400
1987-02-01,5.492923,5.842659,5.287196,5.287196,1.226792,55700
1987-03-01,5.307768,5.554641,5.307768,5.431205,1.260207,43000
1987-04-01,5.431205,5.678078,5.266623,5.595787,1.539999,63800
1987-05-01,5.616359,6.459842,5.616359,5.719223,1.573970,7664100
1987-06-01,5.678078,6.542133,5.678078,6.110106,1.681543,16546900
1987-07-01,6.089532,6.994733,6.089532,6.521560,1.794778,4260700
1987-08-01,6.212969,6.254115,5.739796,6.048387,1.664559,3426000
1987-09-01,6.089532,6.583279,6.048387,6.356978,1.786013,5433300
1987-10-01,6.624424,6.830152,4.772877,5.595787,1.572154,5586000
1987-11-01,5.513496,5.513496,4.875741,5.102041,1.433435,415500
1987-12-01,5.143186,5.678078,5.019750,5.554641,1.560594,3639400
1988-01-01,5.760369,5.966096,5.657505,5.657505,1.589494,1027100
1988-02-01,5.657505,5.719223,5.307768,5.678078,1.595273,558000
1988-03-01,5.780941,6.171824,5.780941,5.904378,1.658853,428300
1988-04-01,5.986669,5.986669,4.752304,4.752304,1.374573,1884100
1988-05-01,4.772877,4.916886,4.670013,4.731731,1.368623,1560700
1988-06-01,4.793449,4.896313,4.526004,4.628868,1.338869,692100
1988-07-01,4.608295,4.855168,4.526004,4.711159,1.362672,290900
1988-08-01,4.649440,4.649440,4.443713,4.443713,1.285315,1036600
1988-09-01,4.381995,4.649440,4.340849,4.608295,1.332919,110000
1988-10-01,4.690586,4.958032,4.608295,4.916886,1.446706,524200
1988-11-01,4.814023,5.102041,4.711159,5.081468,1.495131,161700
1988-12-01,5.081468,5.102041,4.814023,4.814023,1.416440,1307900
1989-01-01,4.875741,5.472350,4.772877,5.348914,1.573822,2316200
1989-02-01,5.369486,5.513496,5.040323,5.060895,1.489078,466900
1989-03-01,5.060895,5.204905,4.855168,4.896313,1.440652,1101600
1989-04-01,4.896313,5.102041,4.731731,4.978604,1.513692,389900
1989-05-01,4.978604,5.225477,4.690586,4.690586,1.426123,503800
1989-06-01,4.690586,4.855168,4.402567,4.628868,1.407358,3328600
1989-07-01,4.649440,5.719223,4.649440,5.657505,1.720104,493300
1989-08-01,5.657505,5.760369,5.348914,5.636932,1.713849,1952500
1989-09-01,5.595787,5.842659,5.472350,5.698650,1.777711,2593200
1989-10-01,5.575214,5.636932,4.649440,4.855168,1.514584,3488400
1989-11-01,4.896313,5.636932,4.855168,5.554641,1.732788,3466500
1989-12-01,5.595787,6.089532,5.513496,6.089532,1.899648,921500
1990-01-01,6.130678,6.336406,5.863233,6.336406,1.976661,2544200
1990-02-01,6.418696,6.500988,6.089532,6.295260,1.963825,1242700
1990-03-01,6.418696,6.418696,6.007242,6.377551,1.989496,298800
1990-04-01,6.254115,6.315833,5.410632,5.472350,1.762651,1886200
1990-05-01,5.554641,6.356978,5.554641,6.192396,1.994579,2262700
1990-06-01,6.254115,6.682028,6.163594,6.394009,2.059519,1004800
1990-07-01,6.394009,7.056452,6.163594,6.595622,2.124459,2304100
1990-08-01,6.595622,6.624424,5.904378,6.221198,2.003857,2549000
1990-09-01,6.105991,6.221198,5.069124,5.357143,1.780032,371200
1990-10-01,5.529954,7.085253,5.501152,5.933180,1.971432,1266700
1990-11-01,5.875576,7.085253,5.789171,6.739631,2.239394,1153200
1990-12-01,6.682028,6.912442,6.278802,6.509217,2.162834,298600
1991-01-01,6.509217,6.682028,5.875576,6.682028,2.220255,181200
1991-02-01,6.624424,7.546083,6.624424,7.373272,2.449935,193200
1991-03-01,7.373272,8.294930,7.142857,7.258065,2.411655,473100
1991-04-01,7.142857,7.603687,6.970046,7.142857,2.442022,523600
1991-05-01,7.315668,7.315668,6.854839,7.142857,2.442022,558100
1991-06-01,7.085253,7.085253,6.451613,6.566820,2.245086,312400
1991-07-01,6.566820,7.430876,6.538018,7.373272,2.520798,948600
1991-08-01,7.142857,7.517281,6.797235,7.488479,2.560185,149700
1991-09-01,7.373272,7.603687,7.258065,7.373272,2.574769,335300
1991-10-01,7.402074,7.546083,6.566820,6.883641,2.403787,140400
1991-11-01,6.883641,6.912442,5.875576,5.875576,2.051769,309000
1991-12-01,5.875576,6.509217,5.529954,6.451613,2.252922,219300
1992-01-01,6.336406,6.797235,5.760369,6.307604,2.202634,530700
1992-02-01,6.451613,6.509217,5.933180,5.933180,2.071884,336900
1992-03-01,5.933180,6.192396,4.838710,4.982719,1.739980,630400
1992-04-01,4.896313,5.961982,4.752304,5.702765,2.080119,724300
1992-05-01,5.702765,7.027650,5.702765,6.336406,2.311244,691300
1992-06-01,6.250000,6.451613,5.702765,5.904378,2.270599,319200
1992-07-01,5.731567,6.048387,5.414747,5.702765,2.193067,594600
1992-08-01,5.645161,6.048387,5.126728,5.385945,2.071228,686400
1992-09-01,5.357143,6.048387,4.867512,5.673963,2.266835,800000
1992-10-01,5.702765,5.702765,4.637097,5.069124,2.025192,525800
1992-11-01,5.040323,5.472350,4.867512,5.443548,2.174780,507200
1992-12-01,5.414747,5.760369,5.270737,5.357143,2.140261,613200
1993-01-01,5.443548,6.221198,5.184332,5.904378,2.358890,1091800
1993-02-01,5.875576,6.077189,5.414747,5.789171,2.312863,795700
1993-03-01,5.731567,5.990783,5.270737,5.933180,2.370396,802700
1993-04-01,5.933180,6.394009,5.616359,6.278802,2.554098,452900
1993-05-01,6.307604,6.595622,5.933180,6.278802,2.554098,292800
1993-06-01,6.451613,6.710829,6.278802,6.566820,2.671259,650100
1993-07-01,6.682028,6.912442,6.509217,6.710829,2.729840,596500
1993-08-01,6.826037,7.258065,6.682028,7.027650,2.858716,429800
1993-09-01,7.056452,7.373272,6.912442,7.200461,2.977453,421800
1993-10-01,7.229263,8.064516,7.229263,7.776498,3.215647,529300
1993-11-01,7.718894,8.064516,7.459677,7.949309,3.287107,1228300
1993-12-01,8.266129,8.986176,8.208526,8.698156,3.596761,848700
1994-01-01,8.640553,8.813364,8.179724,8.755760,3.620581,747700
1994-02-01,8.698156,8.813364,7.315668,7.661290,3.168008,831900
1994-03-01,7.603687,7.949309,7.027650,7.085253,2.929812,1533400
1994-04-01,7.027650,7.430876,6.912442,7.200461,3.036715,1128100
1994-05-01,7.142857,7.603687,6.970046,6.998848,2.951687,1184400
1994-06-01,6.970046,7.949309,6.941244,7.488479,3.158185,591100
1994-07-01,7.373272,8.150922,7.344470,7.834101,3.303946,565200
1994-08-01,7.776498,8.496544,7.776498,8.323732,3.510443,2466900
1994-09-01,8.352534,8.755760,8.006912,8.352534,3.582437,762700
1994-10-01,8.294930,8.813364,8.035714,8.669354,3.718322,278900
1994-11-01,8.755760,9.216590,8.496544,8.842166,3.792443,700000
1994-12-01,8.784562,9.101382,8.467742,8.813364,3.780088,444800
1995-01-01,8.842166,9.216590,8.294930,8.640553,3.705968,752000
1995-02-01,8.640553,9.331798,8.467742,8.899770,3.817147,615800
1995-03-01,8.986176,9.504608,8.755760,9.504608,4.076566,485200
1995-04-01,9.475806,9.936636,9.360600,9.706222,4.274877,297700
1995-05-01,9.763824,10.023042,9.389400,9.850230,4.338303,206000
1995-06-01,9.879032,10.483871,9.447004,10.023042,4.414413,330600
1995-07-01,10.138248,10.887096,10.138248,10.858294,4.782279,302600
1995-08-01,10.743088,11.031106,9.965438,10.282258,4.528577,7632800
1995-09-01,10.339862,11.117512,10.339862,10.800692,4.840040,236900
1995-10-01,10.887096,11.088710,10.483871,10.771890,4.827132,780300
1995-11-01,10.685484,11.578341,10.685484,11.002304,4.930387,345600
1995-12-01,11.117512,11.319124,10.426268,10.426268,4.672253,288500
1996-01-01,10.771890,11.232718,10.541474,11.117512,4.982014,239600
1996-02-01,11.059908,11.751152,10.829494,10.858294,4.865854,349800
1996-03-01,11.059908,11.059908,9.677420,10.426268,4.672253,765000
1996-04-01,10.397466,10.599078,10.109447,10.253456,4.679260,419600
1996-05-01,10.138248,11.059908,9.965438,10.858294,4.955282,355000
1996-06-01,10.858294,11.376728,10.829494,10.944700,4.994714,254000
1996-07-01,11.203918,11.808756,11.002304,11.693548,5.336460,132800
1996-08-01,11.635944,13.594470,11.635944,13.248848,6.046234,6411400
1996-09-01,13.248848,13.824884,13.191244,13.479262,6.245982,1636400
1996-10-01,13.594470,15.034562,13.594470,14.631336,6.779829,748800
1996-11-01,14.631336,16.129032,14.285714,16.100231,7.460481,579700
1996-12-01,15.956222,15.985023,15.207374,15.841014,7.340365,447400
1997-01-01,15.783410,17.425116,15.552996,17.194700,7.967635,534000
1997-02-01,17.223503,18.548388,16.359447,16.705069,7.740750,3877200
1997-03-01,16.474655,16.733871,14.688940,15.264977,7.227896,1605000
1997-04-01,15.207374,17.569124,15.207374,17.050692,8.073423,802800
1997-05-01,17.223503,19.354839,16.935484,18.087557,8.564374,474600
1997-06-01,17.453917,19.066820,17.165899,18.346775,8.740083,362000
1997-07-01,18.663595,20.046083,18.433180,19.527649,9.302629,256800
1997-08-01,19.700460,21.198156,19.124424,21.025345,10.016106,221800
1997-09-01,21.198156,24.942396,20.967741,24.884792,11.998120,658700
1997-10-01,25.288019,26.641705,22.119816,23.271889,11.220469,439100
1997-11-01,23.732719,24.366360,22.235023,22.523041,10.859415,179700
1997-12-01,22.350231,26.555300,22.350231,25.158411,12.130050,404000
1998-01-01,25.230415,27.880184,23.588709,27.649769,13.331248,340600
1998-02-01,27.764977,30.155529,27.275345,27.419355,13.220157,355100
1998-03-01,27.304148,29.089861,26.094471,28.110600,13.694827,125200
1998-04-01,27.995392,29.032259,26.497696,27.419355,13.358067,664400
1998-05-01,27.188940,27.649769,24.654377,24.913595,12.137314,184300
1998-06-01,24.884792,26.900921,24.884792,26.497696,12.909058,350100
1998-07-01,26.497696,29.608295,25.921659,26.267281,12.796803,249500
1998-08-01,25.777649,26.612904,20.708525,20.708525,10.088707,713700
1998-09-01,20.967741,20.967741,15.207374,15.207374,7.499168,612500
1998-10-01,13.824884,20.622120,13.450460,20.218895,9.970486,753000
1998-11-01,19.988480,22.811060,18.375576,21.414171,10.559912,273100
1998-12-01,19.930876,21.025345,17.972351,20.737328,10.376204,635600
1999-01-01,20.132488,22.580645,19.585253,20.449308,10.232090,595900
1999-02-01,21.198156,26.036867,20.074884,24.884792,12.451444,513100
1999-03-01,24.884792,28.686636,24.423964,26.296083,13.398048,494100
1999-04-01,27.476959,29.953917,27.419355,28.801844,14.674750,298400
1999-05-01,28.686636,29.781105,25.820852,28.110600,14.322557,118100
1999-06-01,27.880184,29.493088,26.900921,27.534563,14.029060,316200
1999-07-01,27.692972,27.707373,24.884792,27.419355,13.970364,231700
1999-08-01,27.304148,28.686636,25.576036,27.131336,13.823614,214900
1999-09-01,27.145737,27.880184,23.963133,27.419355,14.119857,321700
1999-10-01,27.419355,29.147465,26.036867,27.534563,14.179179,197700
1999-11-01,28.297812,29.953917,26.785715,26.800116,13.800970,229700
1999-12-01,26.987328,27.419355,24.251152,26.526497,13.660066,320600
2000-01-01,26.728111,26.728111,20.737328,22.580645,11.628116,333300
2000-02-01,21.889400,24.913595,20.737328,22.695852,11.687447,876600
2000-03-01,22.235023,25.576036,21.457373,25.345623,13.353685,991000
2000-04-01,25.576036,27.649769,23.502304,25.345623,13.353685,526300
2000-05-01,25.345623,25.345623,21.428572,24.654377,12.989490,476600
2000-06-01,24.654377,25.576036,22.119816,23.041475,12.139713,453400
2000-07-01,22.811060,23.271889,20.564516,20.938940,11.031964,558300
2000-08-01,21.630184,25.345623,21.500576,23.732719,12.503901,729500
2000-09-01,23.243088,26.022465,22.321428,25.475231,13.602792,1019300
2000-10-01,25.518433,27.217741,22.393433,27.217741,14.533219,725900
2000-11-01,26.440092,27.304148,24.467165,26.036867,13.902684,572100
2000-12-01,26.267281,29.665899,25.777649,29.665899,15.840446,609800
2001-01-01,29.435484,31.394009,28.470623,30.184332,16.117271,1786300
2001-02-01,29.792627,32.258064,28.122120,28.387096,15.157613,950300
2001-03-01,29.377880,31.105991,24.423964,28.986176,15.772364,906200
2001-04-01,28.052996,31.451612,27.225807,29.746544,16.186106,644000
2001-05-01,29.942396,30.875576,27.649769,27.880184,15.170555,1045600
2001-06-01,27.995392,30.292627,27.488480,28.917051,15.734756,631700
2001-07-01,29.170507,29.781105,25.693548,27.442396,14.932344,395200
2001-08-01,27.315668,31.006912,26.958525,28.801844,15.672062,633000
2001-09-01,28.156683,28.686636,19.815668,25.518433,14.044769,996200
2001-10-01,25.495392,28.997696,24.423964,28.341013,15.598255,2381500
2001-11-01,27.995392,30.875576,27.373272,28.433180,15.648975,1407300
2001-12-01,27.764977,31.105991,27.087557,31.002304,17.062965,969300
2002-01-01,30.552996,31.336405,28.686636,29.582949,16.281780,1453600
2002-02-01,29.334101,30.011520,27.341013,27.811060,15.306577,1420700
2002-03-01,28.041475,30.529953,27.937788,28.433180,16.009336,1591500
2002-04-01,28.444700,33.640553,28.417051,32.914745,18.532684,1216300
2002-05-01,32.603687,35.023041,31.797235,32.857143,18.500246,2658200
2002-06-01,32.811058,32.811058,29.124424,31.069124,17.493502,1932000
2002-07-01,31.364056,31.705069,23.041475,28.092165,15.817323,3329100
2002-08-01,26.589861,27.926268,23.142857,26.635944,14.997396,1808800
2002-09-01,25.299540,26.175116,19.695852,21.907835,12.537459,3406200
2002-10-01,22.691244,27.649769,21.944700,25.880184,14.810769,3190300
2002-11-01,25.115208,28.036867,24.792627,27.050692,15.480629,2202500
2002-12-01,27.373272,27.419355,21.705069,22.764977,13.027991,3405900
2003-01-01,22.958525,23.843317,19.870968,22.129032,12.664048,4189400
2003-02-01,22.488480,23.041475,20.092165,21.207373,12.136601,3268300
2003-03-01,21.428572,23.732719,18.709677,21.511520,12.774759,3336600
2003-04-01,21.741936,26.635944,21.511520,25.824884,15.336287,2604100
2003-05-01,25.179724,27.290323,24.101383,26.589861,15.790564,2987500
2003-06-01,26.396313,29.834101,26.036867,27.576036,16.376213,2019600
2003-07-01,26.976959,28.755760,26.359447,27.880184,16.556833,2054500
2003-08-01,27.741936,29.539171,26.064516,27.262672,16.190117,2143300
2003-09-01,26.967741,30.635944,26.820276,28.571428,17.215929,2281900
2003-10-01,29.529953,33.317974,29.529953,31.797235,19.159668,3010900
2003-11-01,31.419355,33.170506,30.451612,32.811058,19.770557,2100600
2003-12-01,32.949310,33.705070,30.875576,33.502304,20.187073,2181700
2004-01-01,33.824886,36.341015,33.345623,33.843319,20.392551,2950100
2004-02-01,33.658985,36.755760,33.364056,33.963135,20.464748,3807000
2004-03-01,34.110600,34.820278,32.202766,33.308754,20.609112,3740600
2004-04-01,33.170506,34.562210,32.313366,33.714287,20.860025,3359800
2004-05-01,33.898617,34.820278,32.258064,32.764977,20.272661,3296800
2004-06-01,32.847927,34.036865,31.788019,32.129032,19.879183,3802000
2004-07-01,32.304146,32.304146,30.211981,31.170507,19.286114,4559100
2004-08-01,31.428572,35.769585,30.894009,34.451614,21.316233,5082900
2004-09-01,34.534561,36.488480,34.451614,35.658985,22.412687,3241900
2004-10-01,36.101383,38.451614,35.981567,36.368664,22.858740,4969200
2004-11-01,36.580647,39.769585,36.423962,38.359447,24.110006,2952700
2004-12-01,38.995392,42.387096,38.847927,42.101383,26.461916,2862700
2005-01-01,42.368664,42.368664,39.935482,40.691246,25.575602,3053300
2005-02-01,40.746544,43.317974,40.294930,40.506912,25.459747,3661600
2005-03-01,40.737328,41.428570,37.327190,38.193550,24.634018,4818900
2005-04-01,38.930874,40.009216,37.483871,38.248848,24.669680,4385600
2005-05-01,38.433178,39.244240,35.235023,35.281105,22.755556,5401700
2005-06-01,35.188942,38.258064,34.838711,36.811058,23.742338,5329700
2005-07-01,37.170506,38.055298,35.271889,36.414745,23.486725,5141800
2005-08-01,36.949310,39.447006,36.175114,37.142857,23.956341,5907600
2005-09-01,37.327190,39.188942,37.188942,37.585255,24.629200,3486500
2005-10-01,37.953918,38.414745,34.248848,36.516129,23.928612,7001500
2005-11-01,36.894009,39.281105,36.460831,37.576038,24.623163,5383400
2005-12-01,38.175114,39.493088,38.055298,38.783409,25.414337,3547400
2006-01-01,39.400921,41.142857,38.525345,39.382488,25.806904,5342000
2006-02-01,40.368664,43.447006,39.585255,43.198158,28.307274,4922400
2006-03-01,42.396313,44.239632,41.170506,43.133640,28.264988,6637700
2006-04-01,42.599079,46.359447,42.506912,45.944702,30.907595,4795000
2006-05-01,46.285713,47.032257,40.930874,42.718895,28.737560,8249200
2006-06-01,42.700462,43.649769,39.815670,42.193550,28.384155,7316700
2006-07-01,42.589863,44.055298,39.539169,43.603687,29.332773,7054200
2006-08-01,43.400921,47.013824,42.635944,46.635944,31.372606,6674500
2006-09-01,47.050690,47.695854,45.493088,46.792625,31.988852,6018800
2006-10-01,47.327190,50.267281,47.023041,50.055298,34.219322,10190200
2006-11-01,50.276497,50.884792,48.672810,49.824886,34.061806,8885600
2006-12-01,49.612904,56.700462,49.096775,53.585255,36.632507,17704200
2007-01-01,54.764977,55.815670,53.456223,54.368664,37.168064,13432400
2007-02-01,54.958527,57.769585,53.658985,53.972351,36.897137,9025200
2007-03-01,52.479263,55.281105,48.147465,52.479263,35.876404,19154800
2007-04-01,53.152073,56.211983,52.248848,53.493088,37.623753,12777700
2007-05-01,53.437790,55.170506,51.511520,52.746544,37.098679,13465700
2007-06-01,52.820278,55.152073,51.152073,51.419353,36.165215,9588900
2007-07-01,51.410137,56.728111,50.506912,51.603687,36.294872,13542900
2007-08-01,51.327190,53.778801,42.949310,45.714287,32.152611,21751900
2007-09-01,47.391705,47.557602,42.562210,44.811058,32.108471,19768600
2007-10-01,45.142857,50.497696,43.345623,46.866360,33.581161,22271000
2007-11-01,43.907833,44.129032,35.152073,42.728111,30.615980,42392400
2007-12-01,43.152073,43.345623,36.497696,37.207375,26.660202,23421000
2008-01-01,37.880184,38.129032,31.105991,34.811058,24.943176,38125000
2008-02-01,35.050690,38.322582,30.626728,34.626728,24.811098,38655100
2008-03-01,34.175114,34.700462,28.857143,33.364056,23.906353,37053500
2008-04-01,35.281105,37.142857,32.423962,33.548386,25.235399,28080900
2008-05-01,33.373272,35.299538,27.317972,27.585253,20.749882,27423300
2008-06-01,26.534563,26.792627,21.235023,21.336405,16.049438,56141900
2008-07-01,20.460829,26.470047,18.248848,25.069124,18.857225,52328000
2008-08-01,25.447004,27.345623,21.087557,23.686636,17.817301,24379200
2008-09-01,24.175116,29.953917,18.635944,22.764977,17.778841,65060300
2008-10-01,22.986176,25.179724,9.622120,9.889400,7.723354,57187100
2008-11-01,10.046082,12.055300,6.571429,10.368664,8.097647,33852700
2008-12-01,8.967742,9.170506,7.400922,9.032258,7.053951,26332400
2009-01-01,8.359447,10.479262,2.534562,5.262673,4.110008,141926500
2009-02-01,4.940092,6.617512,4.718894,4.737327,3.699726,93736600
2009-03-01,4.645161,9.308756,2.875576,7.834101,6.118223,178009800
2009-04-01,7.815668,15.668202,7.668203,14.755760,11.523855,151622200
2009-05-01,14.986176,17.815668,13.317972,17.797235,13.899162,116564100
2009-06-01,19.152073,19.493088,15.400922,16.995392,13.272945,103724000
2009-07-01,17.539171,19.410139,16.433180,18.930876,14.784506,52995300
2009-08-01,19.944700,23.105991,19.815668,22.525345,17.591684,42741100
2009-09-01,22.101383,23.668203,20.847927,21.788019,17.015858,36623900
2009-10-01,21.594471,23.465437,18.903225,19.262672,15.043631,52147300
2009-11-01,19.548388,21.437788,17.741936,18.184332,14.201480,48636300
2009-12-01,18.294931,19.059908,15.714286,16.221199,12.708091,49140600
2010-01-01,16.709677,19.419355,15.677420,15.769586,12.354284,54111600
2010-02-01,16.304148,18.368664,14.976958,17.668203,13.841709,62847400
2010-03-01,17.142857,20.442396,17.087557,20.046083,15.782770,51557700
2010-04-01,20.405529,22.221199,18.783411,18.820276,14.817657,47058800
2010-05-01,19.032259,19.142857,14.691244,16.239632,12.785858,92482800
2010-06-01,16.073732,17.474655,14.460830,14.645162,11.566284,52836700
2010-07-01,14.737328,19.695852,14.156682,19.235023,15.191211,65629300
2010-08-01,20.009216,20.230415,16.774193,17.078341,13.487930,58760300
2010-09-01,17.566820,18.709677,17.308756,17.373272,13.762231,66523200
2010-10-01,17.585253,18.239632,16.082949,16.267281,12.886121,64195500
2010-11-01,16.313364,17.668203,14.682028,14.875576,11.783679,60021500
2010-12-01,15.419354,16.101383,14.838710,15.225806,12.106158,50193100
2011-01-01,15.400922,18.258064,15.299540,17.327188,13.776986,61831600
2011-02-01,17.649769,19.990784,17.622120,19.142857,15.220636,49699500
2011-03-01,19.198156,19.290323,16.368664,16.718895,13.397679,62099000
2011-04-01,17.235023,18.728111,17.069124,17.557604,14.069784,43976700
2011-05-01,17.705069,17.723503,15.797235,16.949308,13.582326,44155300
2011-06-01,16.506912,16.534563,13.898618,15.142858,12.177387,73824700
2011-07-01,15.594470,15.843318,12.239632,13.419354,10.791403,120175400
2011-08-01,13.548388,13.585254,8.783410,10.294930,8.278842,161992800
2011-09-01,10.718894,10.903226,7.723502,9.013824,7.288000,163712500
2011-10-01,8.829494,12.792626,8.110600,11.529954,9.322382,146937500
2011-11-01,10.377880,11.207374,8.479262,10.737328,8.681515,112786700
2011-12-01,10.460830,11.373272,9.308756,10.129032,8.234386,105224400
2012-01-01,10.562212,13.207374,10.119816,12.470046,10.137512,114249400
2012-02-01,13.050692,14.691244,12.921659,14.350230,11.666006,97526600
2012-03-01,14.691244,15.124424,13.520738,13.963134,11.490438,176343400
2012-04-01,13.594470,14.129032,11.944700,13.124424,10.800248,122520200
2012-05-01,13.170506,13.576036,9.944700,10.184332,8.380813,114498600
2012-06-01,9.889400,12.064516,9.354838,9.493088,7.846962,122978000
2012-07-01,9.778802,10.018434,8.506912,9.640553,7.968858,149521000
2012-08-01,9.741936,11.511520,9.161290,10.718894,8.860211,83142000
2012-09-01,10.700460,13.824884,10.506912,12.783410,10.626885,104844300
2012-10-01,13.032258,14.626728,12.940092,13.649770,11.347091,101867400
2012-11-01,13.944700,15.032258,13.308756,14.589862,12.128592,93992800
