Date,Open,High,Low,Close,Adj Close,Volume
1977-01-01,16.133125,16.548124,15.925625,16.029375,11.218574,640000
1977-02-01,16.029375,16.340626,15.873750,16.133125,11.291189,719900
1977-03-01,16.133125,16.703751,16.029375,16.288750,11.400107,865900
1977-04-01,16.288750,17.170626,16.133125,16.496250,11.545331,717200
1977-05-01,16.496250,16.911249,16.340626,16.496250,11.545331,538400
1977-06-01,16.496250,16.703751,16.340626,16.548124,11.581635,600800
1977-07-01,16.600000,17.326250,16.600000,16.859375,11.799480,539100
1977-08-01,16.859375,17.274376,15.510625,16.444374,11.509034,513000
1977-09-01,16.496250,17.118750,15.925625,16.184999,11.327496,644900
1977-10-01,16.236876,16.600000,14.784375,15.251250,10.673983,674200
1977-11-01,15.251250,16.444374,14.576875,15.873750,11.109659,546700
1977-12-01,15.873750,16.184999,15.718125,16.081249,11.254884,645600
1978-01-01,16.081249,16.133125,14.836250,15.147500,10.601376,356300
1978-02-01,15.147500,15.303125,14.888125,14.940000,10.456150,319400
1978-03-01,14.940000,15.562500,14.369375,15.562500,10.891824,1052100
1978-04-01,15.562500,16.496250,15.406875,16.392500,11.472728,922800
1978-05-01,16.392500,17.170626,16.340626,16.859375,11.799480,1139400
1978-06-01,16.755625,17.844999,16.600000,17.481874,12.235142,1437600
1978-07-01,17.481874,17.585625,17.066875,17.378124,12.162539,550600
1978-08-01,17.378124,18.000626,17.326250,17.533751,12.271454,640900
1978-09-01,17.533751,17.533751,15.821875,16.184999,11.327496,460600
1978-10-01,16.184999,16.548124,14.628750,14.940000,10.456150,461700
1978-11-01,14.940000,15.562500,14.680625,14.732500,10.310920,475100
1978-12-01,14.732500,15.043750,14.525000,14.888125,10.419845,612600
1979-01-01,14.888125,15.406875,14.784375,15.199375,10.637678,550000
1979-02-01,15.199375,15.303125,14.317500,14.628750,10.238317,555200
1979-03-01,14.628750,15.770000,14.525000,15.770000,11.037048,731700
1979-04-01,15.718125,16.184999,15.199375,16.081249,11.254884,571900
1979-05-01,16.081249,16.340626,15.355000,15.821875,11.073355,763500
1979-06-01,15.821875,16.548124,15.614375,16.184999,11.327496,483900
1979-07-01,16.184999,17.066875,15.770000,16.029375,11.218574,585800
1979-08-01,16.029375,16.651875,15.873750,16.392500,11.472728,843600
1979-09-01,16.392500,16.548124,15.925625,16.184999,11.327496,1046900
1979-10-01,16.184999,16.236876,14.213750,14.680625,10.274621,650000
1979-11-01,14.680625,14.940000,14.006250,14.525000,10.165705,610200
1979-12-01,14.525000,15.147500,14.161875,14.784375,10.347232,748700
1980-01-01,14.784375,15.147500,14.369375,14.525000,10.165705,770100
1980-02-01,14.525000,14.628750,12.865000,12.916875,9.040216,2747900
1980-03-01,12.916875,13.124375,11.308750,12.035000,8.423008,989800
1980-04-01,12.035000,12.553750,11.723750,12.553750,8.786068,784000
1980-05-01,12.553750,13.331875,12.242500,13.124375,9.185437,783700
1980-06-01,13.124375,14.369375,12.916875,13.954375,9.766339,788200
1980-07-01,13.902500,14.213750,12.501875,13.280000,9.294354,860500
1980-08-01,13.280000,14.369375,12.916875,13.072500,9.149124,1557700
1980-09-01,13.072500,14.161875,12.968750,13.020625,9.112824,852200
1980-10-01,13.020625,14.213750,12.657500,12.813125,8.967599,925000
1980-11-01,12.813125,13.072500,12.035000,12.242500,8.568235,1382300
