Date,Open,High,Low,Close,Adj Close,Volume
9/1/88,21.9375,22.0625,21.25,21.625,5.551293,18943400
10/1/88,21.875,21.875,20.5625,20.875,5.479243,5502600
11/1/88,20.9375,21.375,19.6875,20.5,5.380814,6424200
12/1/88,20.4375,21.0625,19.75,19.875,5.343525,7279200
1/1/89,20,21.3125,19.5,21.125,5.679595,8484000
2/1/89,21.1875,21.875,20.3125,20.4375,5.494759,5636800
3/1/89,20.625,21.1875,19.8125,20.5,5.640889,6595600
4/1/89,20.625,22.5,20.4375,21.9375,6.036437,6865200
5/1/89,21.875,23.4375,21.5,23.25,6.397595,7195400
6/1/89,23.375,24.25,21.75,21.75,6.127195,16995000
7/1/89,21.75,23.4375,21.5625,23.4375,6.602585,4659200
8/1/89,23.5,23.8125,22.9375,23.5625,6.637794,6143800
9/1/89,23.4375,24.5,23.125,23.875,6.725835,4673400
10/1/89,23.875,24,21.125,21.875,6.304214,5124800
11/1/89,21.75,22.125,20.375,20.5,5.90795,3460000
12/1/89,20.4375,21,19.25,20.8125,5.99801,5755600
1/1/90,20.75,22.0625,18.875,19.5625,5.787395,4988200
2/1/90,19.6875,20.3125,19.375,19.9375,5.898336,3653400
3/1/90,20.125,20.4375,19.75,19.8125,6.021938,4119600
4/1/90,19.8125,20.125,16.5,17.4375,5.300065,8674000
5/1/90,17.4375,19.375,17.4375,17.75,5.395047,8607400
6/1/90,17.8125,19.125,14.625,15,4.690468,6369800
7/1/90,15.125,15.5,13.0625,13.25,4.143247,4528000
8/1/90,13.1875,13.375,11.125,12.125,3.791463,6709200
9/1/90,12.125,12.625,9.9375,11.125,3.636079,5710200
10/1/90,11.5,12.125,7.875,8.125,2.655564,8621600
11/1/90,8.0625,11.625,8,11.25,3.676935,10040000
12/1/90,11.25,12.875,10.5,10.8125,3.533943,7344400
1/1/91,10.875,12.25,9.4375,11.9375,4.094533,8412600
2/1/91,11.875,15.375,11.6875,13.4375,4.609029,9942400
3/1/91,13.3125,16.75,13.25,16.5625,5.6809,10099800
4/1/91,16.4375,18.375,14.9375,17.625,6.285427,7029000
5/1/91,17.625,18.4375,16.5,18.375,6.552895,6367200
6/1/91,18.375,19.25,17.5625,18.0625,6.441445,6326000
7/1/91,18.0625,19.875,17.4375,19.625,6.998662,7376400
8/1/91,19.625,21.8125,19.3125,20.875,7.675241,6790200
9/1/91,21,21.1875,19.1875,20.375,7.491405,4387600
10/1/91,20.375,23.5,19.6875,20.75,7.629282,8958000
11/1/91,20.8125,22.5,20.1875,20.9375,7.906435,13251000
12/1/91,20.6875,24.125,20.625,23.5625,8.897698,6710600
1/1/92,23.25,25.3125,23.125,23.4375,8.85049,10269400
2/1/92,23.375,25.9375,23.125,25.625,9.895053,10004000
3/1/92,25.6875,25.6875,24,24.8125,9.581306,8810400
4/1/92,24.6875,26.5,23.5,26.375,10.184663,9240200
5/1/92,26.3125,27.9375,25.375,25.625,10.11499,6803600
6/1/92,25.625,27.1875,25,27,10.657747,6798600
7/1/92,26.9375,27.5,25.125,25.75,10.164332,5916400
8/1/92,25.75,26.625,23.5,24.8125,9.989001,4817400
9/1/92,24.9375,25.375,24,25.3125,10.19029,5946200
10/1/92,25.5,26.75,25.4375,26.625,10.718669,5624600
11/1/92,26.625,29.25,26.625,28.5,11.725727,5857300
12/1/92,28.25,28.875,27.25,28.5,11.725727,5211600
1/1/93,28.75,31.625,27,30.375,12.497149,7934700
2/1/93,30.375,32,29.25,31,12.884866,4234400
3/1/93,31.375,35.5,31.125,33.375,13.872006,7222400
4/1/93,33.5,36.375,30.375,32,13.3005,6805200
5/1/93,31.875,32.875,29.75,32,13.417264,5902600
6/1/93,31.75,32.75,29.375,32.75,13.731733,9185900
7/1/93,32.875,32.875,28.25,28.875,12.106994,7286000
8/1/93,28.625,30.75,28.375,30,12.690841,7723200
9/1/93,29.875,31.5,29,30.75,13.008104,6752000
10/1/93,30.75,31.5,28.25,28.75,12.162055,8026000
11/1/93,28.875,29.875,27.25,29.625,12.664533,7533000
12/1/93,29.875,30.25,28.5,29,12.397354,4829600
1/1/94,28.75,29.875,27.75,29.625,12.664533,8359300
2/1/94,29.625,29.625,27.25,27.625,11.937955,8603700
3/1/94,27.625,28.25,25.25,26.625,11.505807,9508300
4/1/94,26.25,30.375,26.125,27.875,12.04599,9303000
5/1/94,28.125,30.875,27.5,30.625,13.386013,6705400
6/1/94,30.625,31.625,28.75,28.875,12.621096,5843300
7/1/94,29.25,30,27.75,28.75,12.56646,8558200
8/1/94,28.5,28.875,27.5,28,12.374012,7312000
9/1/94,27.875,28.125,25.625,25.875,11.434919,8198600
10/1/94,26,26.375,23.25,23.5,10.385332,12303500
11/1/94,23.625,23.75,20,20.75,9.297013,14559500
12/1/94,20.75,23,20,21.125,9.465029,13910900
1/1/95,21.125,24.125,21.125,23.5,10.529147,10904400
2/1/95,23.75,25.75,23.5,25.5,11.799868,14654400
3/1/95,25.5,25.625,23.875,24.375,11.279279,9404300
4/1/95,24.375,25.75,24.25,25.125,11.626338,9011600
5/1/95,25.25,27.375,25,27,12.667847,9281300
6/1/95,27,28.125,26,26.375,12.374609,7939100
7/1/95,26.5,27.125,23.625,24.75,11.612194,24173300
8/1/95,24.75,26.375,24.5,26.25,12.656561,24230200
9/1/95,26.25,28.625,26.125,27.875,13.44006,39730800
10/1/95,27.875,29.375,26.125,26.25,12.656561,18115100
11/1/95,26.25,29.5,26.25,29.25,14.275311,15357100
12/1/95,29.375,32.375,28.125,32.25,15.739452,21318000
1/1/96,31.75,32.625,28.5,30,14.641342,24002200
2/1/96,29.875,31.5,29.25,30.625,15.128962,17673900
3/1/96,30.875,31.375,28.375,30.75,15.190716,13896900
4/1/96,30.875,31,28.5,30.25,14.94371,13468500
5/1/96,30,31,28.375,30.375,15.182582,13358700
6/1/96,30.25,31.5,29.625,29.75,14.870195,12632000
7/1/96,29.875,30.875,27.5,29.125,14.557792,16147000
8/1/96,29,32.875,29,31.25,15.802785,19387900
9/1/96,31,33.875,30.875,33.375,16.877378,12986300
10/1/96,33.375,36.875,33.125,36.25,18.331234,14475800
11/1/96,36.375,39.75,35.5,39.5,20.195303,14539700
12/1/96,39.25,39.375,36,37.625,19.236671,13364300
1/1/97,37.5,40.125,36.5,39.75,20.323132,15022600
2/1/97,40,44.125,39.75,42.25,21.813711,12218000
3/1/97,41.875,45,39.625,40,20.652035,14744600
4/1/97,39.375,41.25,37.375,41.125,21.232872,13402900
5/1/97,40.875,43.5,39.875,41.875,21.818813,24954700
6/1/97,42,44.75,41.5,41.75,21.753687,12445200
7/1/97,42,46.4375,41.125,45.75,23.837868,11878000
8/1/97,45.5,45.75,41.875,43.25,22.729139,12634100
9/1/97,43.75,49.75,43.5625,48.8125,25.652403,16106800
10/1/97,48.875,52.5,42.875,47.5,24.962648,13352900
11/1/97,48,54.5625,46.25,53.8125,28.495852,9430900
12/1/97,54.25,58.75,54.125,56.9375,30.150658,12453300
1/1/98,56.5,57.75,49.5,51.5625,27.304375,9289600
2/1/98,52.5,56.375,52.3125,55.5,29.610722,8893500
3/1/98,55.9375,61.625,54.1875,59.9375,31.978249,11203800
4/1/98,60,66.75,57.5,60.4375,32.244995,13549600
5/1/98,61.5,63.125,56.25,57.75,31.011459,9303900
6/1/98,57.9375,59.0625,53.8125,53.875,28.93062,15301900
7/1/98,54.6875,60,53.5625,53.9375,28.96418,14991700
8/1/98,53,53.125,41.625,43,23.24543,19249800
9/1/98,42.25,51.1875,41.8125,45,24.326614,18523800
10/1/98,43.75,54.125,38.75,50,27.029577,18818000
11/1/98,50.125,53.6875,48.75,51.5625,28.151125,14067700
12/1/98,50.9375,54.625,49,54,29.481897,12102600
1/1/99,54.25,54.5,47,51.1875,27.946381,17495800
2/1/99,50.9375,53,47.4375,52.0625,28.650002,14071300
3/1/99,51.5,59.75,51.375,55.5625,30.576052,20536000
4/1/99,55.3125,60.125,54.375,57.875,31.848612,15302700
5/1/99,57.875,59.75,55,57.25,31.733688,12823100
6/1/99,56.5,58.75,54.75,57.625,31.941542,11711300
7/1/99,57.5,58.0625,52.75,52.875,29.308619,11082500
8/1/99,53.1875,55.5,49.6875,52.3125,29.203711,13365300
9/1/99,52,55.6875,50.5,52.6875,29.413059,12025100
10/1/99,51.625,60.5,50.3125,59.625,33.285942,13299800
11/1/99,59.4375,62,53.9375,55.75,31.384565,13190500
12/1/99,55,56.5,43,44.5,25.051357,28908800
1/1/00,44,48,40,48,27.021683,22847700
2/1/00,48,48.5,37.625,38.6875,22.020142,15425900
3/1/00,38.625,46.625,36,45.0625,25.648672,20292100
4/1/00,45.5625,48.75,42,43.625,24.830479,17295600
5/1/00,43,50.4375,41,50.1875,28.843351,14190400
6/1/00,50.5,57.5,46.375,46.875,26.939619,29669400
7/1/00,48,53.9375,47.625,50.875,29.238466,14468900
8/1/00,51.125,59.75,51.125,58.953125,34.181553,18523600
9/1/00,59.875,66.375,54.875,65,37.687595,22317100
10/1/00,65.125,67.875,56.375,66.875,38.774742,27502900
11/1/00,66.5,68.5,59,66.5,38.853619,20523500
12/1/00,66.4375,75,63.375,73.0625,42.687878,24392900
1/1/01,73,75.8125,68.5625,74.019997,43.247288,26522800
2/1/01,74,75.449997,67.610001,69.5,40.886265,20892800
3/1/01,69.449997,71.290001,56,67.75,39.856773,30004400
4/1/01,66.5,70.199997,63,65.07,38.28014,22398300
5/1/01,64.769997,69.959999,62.400002,69.25,41.0354,21706100
6/1/01,68.849998,71.110001,64.529999,65.790001,38.98513,17833900
7/1/01,65.800003,66.879997,61.220001,66.349998,39.316948,17355600
8/1/01,66.339996,70.389999,64.800003,66.589996,39.762947,25072900
9/1/01,64.75,66.18,51.139999,57.25,34.185749,23457700
10/1/01,57.080002,59.959999,52.299999,54.900002,32.782486,25873100
11/1/01,54.91,60.110001,54.349998,57.950001,34.912064,21493100
12/1/01,57.099998,59.150002,55.200001,56.200001,33.857769,15790200
1/1/02,55.700001,62.799999,53.799999,57.75,34.791565,37311700
2/1/02,57.75,58.599998,52.5,54.939999,33.364399,26934100
3/1/02,54.939999,62.529999,54.349998,61.490002,37.342136,23506900
4/1/02,61.490002,61.490002,54.75,55.150002,33.491936,24695300
5/1/02,55.119999,57.18,54.279999,56.25,34.436134,24749600
6/1/02,56.049999,56.5,49.599998,52.279999,32.005695,18196600
7/1/02,52.34,52.75,32.700001,42.150002,25.804134,49738800
8/1/02,42.150002,48.080002,39.029999,46.09,28.493052,28167400
9/1/02,45.25,47.25,40.560001,42.169998,26.069689,27239300
10/1/02,42.189999,44.23,36.02,40.66,25.1362,44140600
11/1/02,40.41,43.02,38.299999,42.200001,26.420393,19496800
12/1/02,42.650002,42.779999,40.259998,41.900002,26.232576,17326200
1/1/03,42.369999,45.950001,41.810001,44.040001,27.572382,25997900
2/1/03,44.049999,45.400002,41.630001,44.93,28.431704,20523400
3/1/03,45.25,45.599998,41.650002,42.380001,26.818071,28423000
4/1/03,42.529999,44.900002,42.060001,43.900002,27.779922,23517800
