Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.000000,0.958333,0.880208,0.958333,0.002354,2467200
1972-07-01,0.958333,1.059896,0.958333,1.049479,0.002578,6417600
1972-08-01,1.049479,1.187500,1.044271,1.169271,0.002894,4497600
1972-09-01,1.169271,1.177083,1.109375,1.119792,0.002771,2323200
1972-10-01,1.125000,1.184896,1.096354,1.177083,0.002913,3220800
1972-11-01,1.177083,1.216146,1.177083,1.192708,0.002972,2452800
1972-12-01,1.192708,1.276042,1.192708,1.276042,0.003180,2140800
1973-01-01,1.291667,1.348958,1.276042,1.276042,0.003180,2649600
1973-02-01,1.260417,1.260417,1.098958,1.111979,0.002788,2740800
1973-03-01,1.117188,1.192708,1.111979,1.177083,0.002951,1814400
1973-04-01,1.171875,1.208333,1.145833,1.169271,0.002931,2020800
1973-05-01,1.169271,1.190104,1.098958,1.151042,0.002905,3988800
1973-06-01,1.151042,1.200521,1.151042,1.190104,0.003003,1958400
1973-07-01,1.190104,1.260417,1.179688,1.218750,0.003076,2592000
1973-08-01,1.218750,1.270833,1.179688,1.210938,0.003077,2044800
1973-09-01,1.210938,1.289063,1.210938,1.260417,0.003202,6748800
1973-10-01,1.260417,1.408854,1.250000,1.390625,0.003533,3460800
1973-11-01,1.390625,1.390625,1.210938,1.260417,0.003221,4156800
1973-12-01,1.260417,1.270833,1.190104,1.260417,0.003221,3648000
1974-01-01,1.260417,1.341146,1.260417,1.341146,0.003428,3552000
1974-02-01,1.341146,1.369792,1.309896,1.341146,0.003449,2020800
1974-03-01,1.341146,1.369792,1.250000,1.260417,0.003242,2270400
1974-04-01,1.250000,1.250000,1.151042,1.151042,0.002960,2558400
1974-05-01,1.151042,1.169271,0.919271,0.940104,0.002435,3480000
1974-06-01,0.940104,0.940104,0.770833,0.781250,0.002023,3148800
1974-07-01,0.781250,0.789063,0.619792,0.710938,0.001841,4137600
1974-08-01,0.710938,0.718750,0.539063,0.580729,0.001521,6331200
1974-09-01,0.591146,0.598958,0.520833,0.520833,0.001364,3667200
1974-10-01,0.510417,0.729167,0.479167,0.729167,0.001910,9777600
1974-11-01,0.729167,0.781250,0.710938,0.729167,0.001934,3777600
1974-12-01,0.729167,0.729167,0.651042,0.700521,0.001858,7459200
1975-01-01,0.710938,0.830729,0.710938,0.830729,0.002204,3494400
1975-02-01,0.820313,0.841146,0.750000,0.750000,0.001990,7574400
1975-03-01,0.750000,0.820313,0.750000,0.799479,0.002142,9057600
1975-04-01,0.799479,0.841146,0.760417,0.820313,0.002198,4944000
1975-05-01,0.820313,0.869792,0.760417,0.869792,0.002354,4012800
1975-06-01,0.869792,1.000000,0.869792,0.979167,0.002650,4766400
1975-07-01,0.979167,0.979167,0.859375,0.869792,0.002354,9412800
1975-08-01,0.859375,0.859375,0.760417,0.820313,0.002243,3124800
1975-09-01,0.820313,0.841146,0.781250,0.789063,0.002158,4329600
1975-10-01,0.789063,0.940104,0.781250,0.919271,0.002514,3552000
1975-11-01,0.919271,0.979167,0.919271,0.940104,0.002596,3696000
1975-12-01,0.940104,0.950521,0.869792,0.908854,0.002509,6868800
1976-01-01,0.908854,1.000000,0.908854,0.979167,0.002704,4641600
1976-02-01,0.979167,1.000000,0.901042,0.940104,0.002596,5721600
